"id","building_id","car_type","time","temporary_parking_count","subscriptions_count","parking_rate","parked_count","created_at"
1627841,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 07:24:00",6,0,0.075,6,"2024-11-04 09:10:08"
1627845,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 07:54:00",5,0,0.0625,5,"2024-11-04 09:10:08"
1627849,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 08:24:00",4,0,0.05,4,"2024-11-04 09:10:08"
1627855,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 08:54:00",4,0,0.05,4,"2024-11-04 09:10:08"
1627859,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 09:24:00",4,0,0.05,4,"2024-11-04 09:10:08"
1627862,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 09:54:00",4,0,0.05,4,"2024-11-04 09:10:08"
1627867,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 10:24:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1627871,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 10:54:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1627875,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 11:24:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1627879,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 11:54:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1627883,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 12:24:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1627887,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 12:54:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1627891,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 13:24:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1627895,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 13:54:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1627899,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 14:24:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1627903,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 14:54:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1627907,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 15:24:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1627911,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 15:54:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1627915,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 16:24:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1627919,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 16:54:00",5,1,0.075,6,"2024-11-04 09:10:08"
1627923,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 17:24:00",8,1,0.1125,9,"2024-11-04 09:10:08"
1627927,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 17:54:00",8,1,0.1125,9,"2024-11-04 09:10:08"
1627931,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 18:24:00",9,1,0.125,10,"2024-11-04 09:10:08"
1627935,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 18:54:00",11,1,0.15,12,"2024-11-04 09:10:08"
1627939,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 19:24:00",12,1,0.1625,13,"2024-11-04 09:10:08"
1627944,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 19:54:00",12,1,0.1625,13,"2024-11-04 09:10:08"
1627949,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 20:24:00",12,1,0.1625,13,"2024-11-04 09:10:08"
1627953,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 20:54:00",14,1,0.1875,15,"2024-11-04 09:10:08"
1627957,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 21:24:00",14,1,0.1875,15,"2024-11-04 09:10:08"
1627961,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 21:54:00",15,1,0.2,16,"2024-11-04 09:10:08"
1627965,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 22:24:00",19,1,0.25,20,"2024-11-04 09:10:08"
1627969,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 22:54:00",19,1,0.25,20,"2024-11-04 09:10:08"
1627973,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 23:24:00",19,1,0.25,20,"2024-11-04 09:10:08"
1627977,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-02 23:54:00",20,1,0.2625,21,"2024-11-04 09:10:08"
1627980,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 00:24:00",19,1,0.25,20,"2024-11-04 09:10:08"
1627982,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 00:54:00",19,1,0.25,20,"2024-11-04 09:10:08"
1627987,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 01:24:00",21,1,0.275,22,"2024-11-04 09:10:08"
1627992,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 01:54:00",23,1,0.3,24,"2024-11-04 09:10:08"
1627996,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 02:24:00",22,1,0.2875,23,"2024-11-04 09:10:08"
1628000,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 02:54:00",25,1,0.325,26,"2024-11-04 09:10:08"
1628004,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 03:24:00",24,1,0.3125,25,"2024-11-04 09:10:08"
1628007,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 03:54:00",20,1,0.2625,21,"2024-11-04 09:10:08"
1628011,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 04:24:00",19,1,0.25,20,"2024-11-04 09:10:08"
1628016,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 04:54:00",20,0,0.25,20,"2024-11-04 09:10:08"
1628020,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 05:24:00",21,0,0.2625,21,"2024-11-04 09:10:08"
1628024,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 05:54:00",22,0,0.275,22,"2024-11-04 09:10:08"
1628028,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 06:24:00",21,0,0.2625,21,"2024-11-04 09:10:08"
1628032,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 06:54:00",16,1,0.2125,17,"2024-11-04 09:10:08"
1628035,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 07:24:00",13,1,0.175,14,"2024-11-04 09:10:08"
1628039,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 07:54:00",12,1,0.1625,13,"2024-11-04 09:10:08"
1628043,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 08:24:00",5,1,0.075,6,"2024-11-04 09:10:08"
1628048,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 08:54:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1628052,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 09:24:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1628056,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 09:54:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1628060,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 10:24:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1628062,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 10:54:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1628065,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 11:24:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1628070,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 11:54:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1628073,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 12:24:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1628078,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 12:54:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1628082,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 13:24:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1628086,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 13:54:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1628090,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 14:24:00",4,1,0.0625,5,"2024-11-04 09:10:08"
1628094,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 14:54:00",4,1,0.0625,5,"2024-11-04 09:10:09"
1628098,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 15:24:00",8,1,0.1125,9,"2024-11-04 09:10:09"
1628102,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 15:54:00",17,1,0.225,18,"2024-11-04 09:10:09"
1628105,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 16:24:00",27,1,0.35,28,"2024-11-04 09:10:09"
1628110,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 16:54:00",34,1,0.4375,35,"2024-11-04 09:10:09"
1628114,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 17:24:00",45,1,0.575,46,"2024-11-04 09:10:09"
1628117,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 17:54:00",52,1,0.6625,53,"2024-11-04 09:10:09"
1628121,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 18:24:00",54,1,0.6875,55,"2024-11-04 09:10:09"
1628126,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 18:54:00",58,0,0.725,58,"2024-11-04 09:10:09"
1628130,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 19:24:00",68,0,0.85,68,"2024-11-04 09:10:09"
1628134,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 19:54:00",68,0,0.85,68,"2024-11-04 09:10:09"
1628138,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 20:24:00",59,0,0.7375,59,"2024-11-04 09:10:09"
1628142,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 20:54:00",62,0,0.775,62,"2024-11-04 09:10:09"
1628146,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 21:24:00",65,0,0.8125,65,"2024-11-04 09:10:09"
1628150,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 21:54:00",73,0,0.9125,73,"2024-11-04 09:10:09"
1628154,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 22:24:00",75,0,0.9375,75,"2024-11-04 09:10:09"
1628158,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 22:54:00",73,0,0.9125,73,"2024-11-04 09:10:09"
1628162,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 23:24:00",59,0,0.7375,59,"2024-11-04 09:10:09"
1628166,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-03 23:54:00",55,0,0.6875,55,"2024-11-04 09:10:09"
1628170,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-04 00:24:00",50,0,0.625,50,"2024-11-04 09:10:09"
1628174,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-04 00:54:00",59,0,0.7375,59,"2024-11-04 09:10:09"
1628178,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-04 01:24:00",62,0,0.775,62,"2024-11-04 09:10:09"
1628182,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-04 01:54:00",54,0,0.675,54,"2024-11-04 09:10:09"
1628186,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-04 02:24:00",49,0,0.6125,49,"2024-11-04 09:10:09"
1628190,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-04 02:54:00",55,0,0.6875,55,"2024-11-04 09:10:09"
1628194,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-04 03:24:00",52,0,0.65,52,"2024-11-04 09:10:09"
1628198,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-04 03:54:00",55,0,0.6875,55,"2024-11-04 09:10:09"
1628201,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-04 04:24:00",46,0,0.575,46,"2024-11-04 09:10:09"
1628206,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-04 04:54:00",34,0,0.425,34,"2024-11-04 09:10:09"
1628210,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-04 05:24:00",26,0,0.325,26,"2024-11-04 09:10:09"
1628214,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-04 05:54:00",19,0,0.2375,19,"2024-11-04 09:10:09"
1628216,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-04 06:24:00",17,0,0.2125,17,"2024-11-04 09:10:09"
1628222,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-04 06:54:00",15,0,0.1875,15,"2024-11-04 09:10:09"
1628225,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-04 07:24:00",15,0,0.1875,15,"2024-11-04 09:10:09"
1628230,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-04 07:54:00",15,0,0.1875,15,"2024-11-04 09:10:09"
1628234,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-04 08:24:00",6,0,0.075,6,"2024-11-04 09:10:09"
1628238,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-04 08:54:00",3,0,0.0375,3,"2024-11-04 09:10:09"
1628242,"648a611c-3bbc-4bbc-b088-7a6b7c121c70","car","2024-10-04 09:24:00",2,0,0.025,2,"2024-11-04 09:10:09"
